pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,blue_p0_pos_x,blue_p0_pos_y,blue_p0_pos_z,blue_p0_vel_x,blue_p0_vel_y,blue_p0_vel_z,blue_p0_boost,blue_p1_pos_x,blue_p1_pos_y,blue_p1_pos_z,blue_p1_vel_x,blue_p1_vel_y,blue_p1_vel_z,blue_p1_boost,blue_p2_pos_x,blue_p2_pos_y,blue_p2_pos_z,blue_p2_vel_x,blue_p2_vel_y,blue_p2_vel_z,blue_p2_boost,orange_p0_pos_x,orange_p0_pos_y,orange_p0_pos_z,orange_p0_vel_x,orange_p0_vel_y,orange_p0_vel_z,orange_p0_boost,orange_p1_pos_x,orange_p1_pos_y,orange_p1_pos_z,orange_p1_vel_x,orange_p1_vel_y,orange_p1_vel_z,orange_p1_boost,orange_p2_pos_x,orange_p2_pos_y,orange_p2_pos_z,orange_p2_vel_x,orange_p2_vel_y,orange_p2_vel_z,orange_p2_boost,Target_Goal_Value
24.835707650561634,3542.0890387392005,600.0,-438.7687632429138,-2841.2116199699585,205.4720360603926,8.267105141564649,1300.0,100.0,-33.305254958594254,-0.9895966728709027,68.49253822517355,53.38050806824957,1807.0301460675234,-1199.9999999999998,300.0,-1764.3116908762659,-385.27720102398007,-0.3909483860968521,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.218433650856426,-1300.0,100.00000000000003,1334.6750098528419,0.9895966728709027,-8.526512829121202e-13,48.28029011252366,-1722.1197794208774,1199.9999999999995,100.0,-1896.0398015649935,385.27720102397325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04904089407128572
228.0327441838933,3449.882594770806,701.6150659599624,1043.5334726978708,579.7472869225476,198.7313874893573,248.53312564871092,1292.5816803020225,134.07989613444354,423.32058108690876,-29.658464572710272,67.49083924527284,60.49322819378048,1825.91766939831,-1392.4488685930542,297.0750128237102,1261.8884051268867,-384.13395724416773,-11.671092943491317,79.89404499844544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.55927333475094,-1292.5816803020225,100.0,-996.3278451622816,29.658464572710272,0.0,38.599758919423905,-1801.9620972293797,1392.4488685930532,100.0,-453.48625502778873,384.1339572441609,0.0,10.142207416619865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057020426354371746
477.9899991883423,3573.8577493116427,796.5630305246066,2104.8256296685113,-773.5388076826302,178.95170481145328,347.0268436937813,1270.3707463818027,167.16295967726174,127.85399416740461,-59.140916367848604,64.51504187227741,77.0458791204123,1827.4227344042267,-1583.7556193999192,288.38560679465536,-639.7694126341878,-380.7110106630023,-23.000807915053656,95.26004339161067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-344.57098619869737,-1270.3707463818027,100.0,-703.0326068274684,59.140916367848604,0.0,34.243595918152145,-1737.9518903039227,1583.7556193999194,100.0,834.3355389329008,380.7110106629989,0.0,3.901939061449772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06629832272038531
715.6429937959845,3336.5419161853883,878.6142298045149,1239.4539423999458,-843.3258603133459,147.43075965862204,516.2595951135067,1233.4990124862293,198.28151526230332,-647.202248488922,-88.27238718311264,59.65218779773977,81.22934511292873,1777.3033032250453,-1772.7849127103004,274.1859459248812,1188.8178208308466,-375.02867529012065,-33.65775220465622,89.29745895313658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-506.39421611041445,-1233.4990124862293,100.0,-74.60492421668278,88.27238718311946,0.0,20.800667513482928,-1677.1038114866506,1772.7849127103,100.0,-785.3012331365551,375.02867529012065,0.0,9.910612813523969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07708584232989273
958.8564407307687,3331.2518027233,942.3851740578991,-423.5074180507934,590.9038002048123,106.23668371414055,691.1864233032895,1182.1852996631874,226.52534912925927,-877.3915428233067,-116.87999176748008,53.04451487974177,84.99084516651337,1612.8384933775121,-1958.4149247401515,254.89136847390515,1492.8037395909837,-367.1206738298838,-43.33021155844648,69.59079680252128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-684.9382626996874,-1182.1852996631874,100.0,2209.17433777502,116.8799917674869,0.0,23.451031081826162,-1600.2806591386916,1958.4149247401501,100.0,1510.6049343594987,367.120673829877,0.0,25.85971236529643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08962861870232462
1238.902614490962,3279.1779191192454,983.6917657063543,2441.475020302996,506.73417307171576,58.072275806250104,883.2109173062593,1116.7341371339662,251.06833275942844,-339.37319948785955,-144.79395383565816,44.885296703787105,82.46411134117409,1548.1799162823643,-2139.54400526965,231.06623835788758,-597.6575176074027,-357.0339375486742,-51.735267780693164,72.52392432604879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-905.7147390188761,-1116.7341371339667,100.0,-1780.0028554926746,144.79395383566498,0.0,11.493192489743564,-1540.6312311059603,2139.5440052696504,100.0,-601.2378337308428,357.0339375486674,0.0,30.679649572371822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10421225282987544
1397.925026489977,2961.115454991369,999.8238236146958,710.1235766340199,-831.1306402530522,6.097667635243624,1055.485205321264,1037.533955017163,271.19258702894956,-173.8123055941037,-171.84861363193022,35.4131893552065,91.08082546136791,1474.825565732638,-2315.097215558022,203.40743757745636,-1478.011692157021,-344.8283277540486,-58.62707405473316,59.190824759061364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1036.545308447716,-1037.533955017163,100.0,719.7405064297413,171.8486136319234,0.0,5.216968657743072,-1443.6185805796567,2315.097215558021,100.0,668.3298737373127,344.8283277540486,0.0,46.43896273584024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12116881635704835
1585.5925538542333,2922.9890240278082,989.7229017269772,1855.3327093641883,958.5452752663491,-46.277016725398425,1205.3606658642375,945.0547791296408,286.3094800811151,612.4543397353932,-197.8834110637422,24.90525075927053,91.78983609276268,1390.1463612979983,-2484.0327077349266,172.72398250855468,233.35700835627108,-330.57628053848475,-63.804045930839806,62.97107027307588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1123.2792622519155,-945.0547791296408,100.0,-387.62956088873807,197.8834110637422,0.0,2.1464511023866404,-1332.6044511354773,2484.032707734925,100.0,714.5344115152432,330.5762805384711,0.0,41.84109662868603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14088441290426768
1751.4774676416478,2705.722679106059,954.0517351383874,-980.3889216117932,-1420.2179454528004,-95.61540366433405,1255.3756471703653,839.8454415451122,295.9768447326959,-97.02107007625273,-222.74383857059547,13.668836772403381,90.39549242772017,1226.5780962487988,-2645.3479078089213,139.91336027719052,-2075.795804434174,-314.36237689602194,-67.11475764551537,40.46990563526883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1259.686650951537,-839.8454415451122,100.0,-562.2803053117707,222.7438385706023,0.0,4.235380369742648,-1208.5314349650562,2645.3479078089213,100.0,542.6650440247329,314.3623768960015,0.0,40.967711993876016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16380796970808742
1907.7619051527877,2550.648220221078,895.1507571526761,309.2274643012104,-1010.8126524596673,-138.68033513520004,1473.0912025703133,722.5303234647088,299.9119118073479,-904.6626674940694,-246.28235807323108,2.032611062794274,97.82474156139814,1096.4865911647178,-2798.0854655989715,105.93527737609222,53.739386843425336,-296.2828407632787,-68.46237130566138,34.0809304790101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1430.7542013162135,-722.530323464709,100.0,936.29996381139,246.28235807322767,0.0,14.226858749384856,-1111.1213032714575,2798.0854655989715,100.0,-367.0029243527881,296.2828407632787,0.0,69.02119203818765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1904614597650274
